id,display_name,rayon_name,source_name,total_report_date,total_annual_plan_initial,total_annual_plan_modified,total_annual_plan_expected,total_fact_previous_year,total_period_plan_modified,total_fact_per_capita,total_deviation_yoy,total_fact_previous_period,total_fact_current,pdfo_report_date,pdfo_annual_plan_initial,pdfo_annual_plan_modified,pdfo_annual_plan_expected,pdfo_fact_previous_year,pdfo_period_plan_modified,pdfo_fact_per_capita,pdfo_deviation_yoy,pdfo_fact_previous_period,pdfo_fact_current,single_report_date,single_annual_plan_initial,single_annual_plan_modified,single_annual_plan_expected,single_fact_previous_year,single_period_plan_modified,single_fact_per_capita,single_deviation_yoy,single_fact_previous_period,single_fact_current,excise_fuel_report_date,excise_fuel_annual_plan_initial,excise_fuel_annual_plan_modified,excise_fuel_annual_plan_expected,excise_fuel_fact_previous_year,excise_fuel_period_plan_modified,excise_fuel_fact_per_capita,excise_fuel_deviation_yoy,excise_fuel_fact_previous_period,excise_fuel_fact_current,excise_retail_report_date,excise_retail_annual_plan_initial,excise_retail_annual_plan_modified,excise_retail_annual_plan_expected,excise_retail_fact_previous_year,excise_retail_period_plan_modified,excise_retail_fact_per_capita,excise_retail_deviation_yoy,excise_retail_fact_previous_period,excise_retail_fact_current,land_retail_report_date,land_retail_annual_plan_initial,land_retail_annual_plan_modified,land_retail_annual_plan_expected,land_retail_fact_previous_year,land_retail_period_plan_modified,land_retail_fact_per_capita,land_retail_deviation_yoy,land_retail_fact_previous_period,land_retail_fact_current,property_report_date,property_annual_plan_initial,property_annual_plan_modified,property_annual_plan_expected,property_fact_previous_year,property_period_plan_modified,property_fact_per_capita,property_deviation_yoy,property_fact_previous_period,property_fact_current,other_report_date,other_annual_plan_initial,other_annual_plan_modified,other_annual_plan_expected,other_fact_previous_year,other_period_plan_modified,other_fact_per_capita,other_deviation_yoy,other_fact_previous_period,other_fact_current
0,Обласний бюджет,,Обласний бюджет,2026-07-09,2347210000,2411842419,81854907.88,2173976989,1338944619,,136043973.1,1155212999,1291256972,2026-07-09,1928725000,1960749387,33974065.23,1725957926,1100302387,,85925278.82,946958919.7,1032884199,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,418485000,451093032,47880842.65,448019063,238642232,0,50118694.28,208254079.3,258372773
0,Звенигородський районний,,Звенигородський районний,2026-07-09,20000,42514,72799.54233,115931.16,33514,,-47617.39,107327.69,59710.3,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,20000,42514,72799.54233,115931.16,33514,0,-47617.39,107327.69,59710.3
0,Золотонiський районний,,Золотонiський районний,2026-07-09,8000,21975,62384.20556,15547.59,21975,,28134.3,15547.59,43681.89,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,8000,21975,62384.20556,15547.59,21975,0,28134.3,15547.59,43681.89
0,Уманський районний,,Уманський районний,2026-07-09,0,0,0,5144.08,0,,-3831.98,3831.98,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,5144.08,0,0,-3831.98,3831.98,0
0,Черкаський районний,,Черкаський районний,2026-07-09,2952400,2952400,257111.0283,4171585.56,1102000,,-1069293.76,2731204.95,1661911.19,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,0,0,0,0,0,,0,0,0,2026-07-09,2952400,2952400,257111.0283,4171585.56,1102000,0,-1069293.76,2731204.95,1661911.19
578,Білозірська сільська,Черкаський,Білозірська сільська,2026-07-09,66711891,67696891,1842031.996,61061199.07,39588813,4213.412811,956584.76,35051241.12,36007825.88,2026-07-09,38042845,38252845,2129067.174,32371196.25,21749700,2446.768784,2825855.39,18084230.64,20910086.03,2026-07-09,10801000,10801000,-816834.3987,10255041.08,6776750,604.947696,-1469608.88,6639491.89,5169883.01,2026-07-09,2700000,2700000,-294444.422,2511567.62,1582000,145.7543237,-172070.86,1417687.31,1245616.45,2026-07-09,1503000,1534900,155648.4069,1550862.06,916900,102.4315305,-25668.41,901048.27,875379.86,2026-07-09,6872000,7317000,859309.1299,7099969.88,4263000,495.4083864,606212.86,3627547.21,4233760.07,2026-07-09,2365422,2625422,260915.9233,2311855.76,1567000,174.885268,228637.56,1265931.94,1494569.5,2026-07-09,4427624,4465724,-451629.8174,4960706.42,2733463,243.2168224,-1036772.9,3115303.86,2078530.96
203,Єрківська селищна,Звенигородський,Єрківська селищна,2026-07-09,74891600,83189110,8572212.243,71631649.63,50796760,9811.019381,6280376.23,41234390.63,47514766.86,2026-07-09,62226300,68096300,7717671.478,58773804.59,41458200,8105.946223,5622219.32,33634878.24,39257097.56,2026-07-09,5410000,5650000,-760091.5238,5045548.27,3096000,522.8236217,-109565.53,2641600.33,2532034.8,2026-07-09,86000,1724290,1822604.665,69459.86,1684290,379.2300661,1797241.77,39369.44,1836611.21,2026-07-09,478000,478000,22927.46772,421021.4,274000,53.55861243,9252.43,250131.93,259384.36,2026-07-09,4850000,5287097,-492.0396825,4678691.17,3072597,565.2379723,118848.88,2618598.62,2737447.5,2026-07-09,1637000,1699680,-193029.041,1499024.72,1070930,161.089459,-239457.61,1019613.86,780156.25,2026-07-09,204300,253743,-37378.76324,1144099.62,140743,23.13342647,-918163.03,1030198.21,112035.18
169,Мокрокалигірська сільська,Звенигородський,Мокрокалигірська сільська,2026-07-09,57351548,58835150,-847020.4032,53578784.71,31506219,6338.765066,1952922.39,28073807.73,30026730.12,2026-07-09,33445700,34321000,1003396.451,31109765.54,18154285,3861.360106,1952842.88,16338419.94,18291262.82,2026-07-09,8899950,9418552,-397792.5431,8433370.65,5332493,986.0720688,312488.9,4358534.49,4671023.39,2026-07-09,0,0,0,0,0,0,0,0,0,2026-07-09,274000,274000,-13530.72778,229455.02,145658,28.47226726,2595.2,132277.93,134873.13,2026-07-09,13905800,14005800,-1223596.561,12946411.03,7393655,1397.24087,-102225.17,6720955.17,6618730,2026-07-09,460200,460200,-132618.3516,450229.25,309857,35.80841672,-157490.91,327115.38,169624.47,2026-07-09,365898,355598,-82878.67072,409553.22,170271,29.81133722,-55288.51,196504.82,141216.31
1264,Тальнівська міська,Звенигородський,Тальнівська міська,2026-07-09,334000000,359603260,-19222271.75,337263573.5,199444660,5747.662592,2434379.5,173817693.9,176252073.4,2026-07-09,157850000,170670000,-16635394.22,158414740.7,89220000,2601.023477,5241798.65,74518586.26,79760384.91,2026-07-09,75100000,75506000,-4197293.721,72352504.93,43130000,1204.116557,-4089716.24,41013950.45,36924234.21,2026-07-09,13780000,16179000,-585418.2627,13414277.27,10429000,263.3127275,1166404.53,6908080.26,8074484.79,2026-07-09,8400000,9380378,-476650.9651,7962566.8,5745378,150.3480528,100530.78,4509892.26,4610423.04,2026-07-09,66700000,74482782,4099855.167,70358034.79,43702782,1326.943923,1233177.85,39457557.56,40690735.41,2026-07-09,5642000,5872000,-2486423.188,6517478.46,2417000,57.16874287,-1105537.16,2858616.66,1753079.5,2026-07-09,6528000,7513100,1059053.44,8243970.55,4800500,144.7491118,-112278.91,4551010.45,4438731.54
456,Стеблівська селищна,Звенигородський,Стеблівська селищна,2026-07-09,78320400,79808048,4534267.132,77927494.52,40275559,6142.49564,4403666.87,39269477.13,43673144,2026-07-09,54798500,55945148,5779199.579,54865359.32,27536648,4495.270675,4736604.23,27224770.27,31961374.5,2026-07-09,11140000,11140000,-943060.3717,10852529.83,5409000,742.624353,-61609.66,5341668.81,5280059.15,2026-07-09,0,0,0,0,0,0,0,0,0,2026-07-09,1570000,1570000,-124551.8161,1520763.31,898000,105.2693319,-134420.75,882885.7,748464.95,2026-07-09,8945000,8945000,-304829.9056,8838220.88,4920400,629.247692,-184592.7,4658543.79,4473951.09,2026-07-09,918000,918000,85580.94127,885452.91,624700,73.08895359,-97305.55,616968.01,519662.46,2026-07-09,948900,1289900,41928.70513,965168.27,886811,96.99463451,144991.3,544640.55,689631.85
