id,бюджет,Річний план (зі змінами),Рейтинг за річним планом,Приріст плану до минулого року,Темп росту плану до минулого року,Рейтинг за темпом росту до минулого року,План на звітний період (зі змінами),Частка періоду в році ,Рейтинг за планом на пероід,Фактичні надходження,Рейтинг за фактом на дату,Темп росту факту (абс),Темп росту факту,Рейтинг за темпом росту,Фактичні надходження аналогічного періоду минулого року,Звітна дата
1,Обласний бюджет,"2 408 193 032,00",,"234 216 043,48","10,8",,"1 159 446 632,00","48,1",,"1 214 476 817,08",,"246 232 023,67","125,4",,"968 244 793,41",01.07.2026
1,Звенигородський районний,"30 514,00",,"-85 417,16","-73,7",,"19 514,00","64,0",,"64 774,21",,"-38 162,93","62,9",,"102 937,14",
1,Золотонiський районний,"21 975,00",,"6 427,41","41,3",,"21 975,00","100,0",,"43 681,89",,"29 154,30","300,7",,"14 527,59",
1,Уманський районний,,,"-5 144,08","-100,0",,,,,,,"-3 831,98",,,"3 831,98",
1,Черкаський районний,"2 952 400,00",,"-1 219 185,56","-29,2",,"1 102 000,00","37,3",,"1 661 911,19",,"-1 069 293,76","60,8",,"2 731 204,95",
578,Білозірська сільська,"67 696 891,00",41,"6 635 691,93","10,9",14,"33 134 303,00","48,9",21,"33 230 112,76",41,"4 511 905,58","115,7",54,"28 718 207,18",
203,Єрківська селищна,"83 189 110,00",32,"11 557 460,37","16,1",6,"43 986 920,00","52,9",3,"44 398 646,32",33,"8 824 785,65","124,8",32,"35 573 860,67",
169,Мокрокалигірська сільська,"58 835 150,00",46,"5 256 365,29","9,8",15,"26 607 866,00","45,2",44,"27 161 713,34",50,"3 685 663,81","115,7",55,"23 476 049,53",
1264,Тальнівська міська,"356 953 260,00",8,"19 689 686,46","5,8",30,"169 977 760,00","47,6",28,"167 929 127,87",8,"23 654 837,96","116,4",51,"144 274 289,91",
456,Стеблівська селищна,"79 808 048,00",34,"1 880 553,48","2,4",42,"34 480 876,00","43,2",57,"40 884 905,62",36,"8 628 682,84","126,8",22,"32 256 222,78",
367,Набутівська сільська,"50 716 472,00",50,"559 081,20","1,1",49,"23 977 705,00","47,3",30,"24 659 370,12",51,"1 488 286,24","106,4",66,"23 171 083,88",
398,Селищенська сільська,"58 445 640,00",47,"3 658 735,55","6,7",23,"25 770 680,00","44,1",53,"29 704 353,85",47,"8 283 230,37","138,7",6,"21 421 123,48",
568,Ротмістрівська сільська,"73 666 053,00",37,"11 895 055,40","19,3",3,"40 405 076,00","54,8",1,"32 392 596,42",43,"5 200 836,10","119,1",43,"27 191 760,32",
1275,Шполянська міська,"370 991 328,00",6,"3 838 198,09","1,0",50,"170 027 928,00","45,8",41,"187 872 577,67",6,"30 023 185,35","119,0",44,"157 849 392,32",
415,Степанецька сільська,"290 693 930,00",9,"2 979 835,24","1,0",51,"152 725 090,00","52,5",5,"160 709 051,76",9,"25 109 022,09","118,5",45,"135 600 029,67",
280,Мліївська сільська,"49 695 466,00",52,"7 864 305,87","18,8",4,"22 024 293,00","44,3",52,"21 475 815,11",56,"2 359 662,54","112,3",61,"19 116 152,57",
1235,Жашківська міська,"368 466 962,00",7,"39 196 577,53","11,9",10,"165 959 202,00","45,0",45,"168 908 818,61",7,"35 485 283,49","126,6",24,"133 423 535,12",
1086,Кам'янська міська,"174 195 769,00",20,"4 033 269,53","2,4",43,"86 614 369,00","49,7",14,"89 843 867,66",20,"17 713 648,39","124,6",33,"72 130 219,27",
114,Ліплявська сільська,"40 550 645,00",57,"-386 360,63","-0,9",52,"16 066 880,00","39,6",65,"22 464 944,71",55,"3 816 073,26","120,5",40,"18 648 871,45",
150,Іваньківська сільська,"41 244 151,00",56,"-5 977 161,59","-12,7",65,"18 163 284,00","44,0",54,"19 666 811,95",59,"2 207 626,47","112,6",60,"17 459 185,48",
934,Паланська сільська,"191 315 000,00",18,"-10 897 708,10","-5,4",60,"75 694 400,00","39,6",66,"108 972 354,32",16,"22 708 702,98","126,3",25,"86 263 651,34",
